algorithm,outer_run,generation,native_fitness,projected_fitness,pop_size,n_gen,steps,cxpb,mutpb,seed
EA1,3,0,0.035648461303816804,0.035648461303816804,120,30,4000,0.9,0.25,342
EA1,3,1,0.037647888025373534,0.037647888025373534,120,30,4000,0.9,0.25,342
EA1,3,2,0.037647888025373534,0.037647888025373534,120,30,4000,0.9,0.25,342
EA1,3,3,0.05409285297713729,0.05409285297713729,120,30,4000,0.9,0.25,342
EA1,3,4,0.05409285297713729,0.05409285297713729,120,30,4000,0.9,0.25,342
EA1,3,5,0.06887883658657348,0.06887883658657348,120,30,4000,0.9,0.25,342
EA1,3,6,0.0695695818957319,0.0695695818957319,120,30,4000,0.9,0.25,342
EA1,3,7,0.10579203762779917,0.10579203762779917,120,30,4000,0.9,0.25,342
EA1,3,8,0.13031429933813723,0.13031429933813723,120,30,4000,0.9,0.25,342
EA1,3,9,0.13646083588188904,0.13646083588188904,120,30,4000,0.9,0.25,342
EA1,3,10,0.14346915425092302,0.14346915425092302,120,30,4000,0.9,0.25,342
EA1,3,11,0.160496975784781,0.160496975784781,120,30,4000,0.9,0.25,342
EA1,3,12,0.1830041623572058,0.1830041623572058,120,30,4000,0.9,0.25,342
EA1,3,13,0.19253148816770288,0.19253148816770288,120,30,4000,0.9,0.25,342
EA1,3,14,0.19253148816770288,0.19253148816770288,120,30,4000,0.9,0.25,342
EA1,3,15,0.19944580616475055,0.19944580616475055,120,30,4000,0.9,0.25,342
EA1,3,16,0.20659149414939068,0.20659149414939068,120,30,4000,0.9,0.25,342
EA1,3,17,0.21860652176430193,0.21860652176430193,120,30,4000,0.9,0.25,342
EA1,3,18,0.2220307751461788,0.2220307751461788,120,30,4000,0.9,0.25,342
EA1,3,19,0.23652174172633567,0.23652174172633567,120,30,4000,0.9,0.25,342
EA1,3,20,0.24026449449156592,0.24026449449156592,120,30,4000,0.9,0.25,342
EA1,3,21,0.25022125324549255,0.25022125324549255,120,30,4000,0.9,0.25,342
EA1,3,22,0.25364544731567856,0.25364544731567856,120,30,4000,0.9,0.25,342
EA1,3,23,0.25849009219403646,0.25849009219403646,120,30,4000,0.9,0.25,342
EA1,3,24,0.2611372048973402,0.2611372048973402,120,30,4000,0.9,0.25,342
EA1,3,25,0.26400187245465284,0.26400187245465284,120,30,4000,0.9,0.25,342
EA1,3,26,0.2675339718026512,0.2675339718026512,120,30,4000,0.9,0.25,342
EA1,3,27,0.26767461249537955,0.26767461249537955,120,30,4000,0.9,0.25,342
EA1,3,28,0.27103143470496693,0.27103143470496693,120,30,4000,0.9,0.25,342
EA1,3,29,0.2742783880625079,0.2742783880625079,120,30,4000,0.9,0.25,342
EA1,3,30,0.2742783880625079,0.2742783880625079,120,30,4000,0.9,0.25,342
