algorithm,outer_run,episode_index,fitness_variant,fitness,steps,seed
Random,2,0,EA1,-0.019741671149579424,4000,242
Random,2,1,EA1,0.004333843133969394,4000,242
Random,2,2,EA1,-0.01352457318578825,4000,242
Random,2,3,EA1,-0.003561149336012701,4000,242
Random,2,4,EA1,0.0026703731337076836,4000,242
Random,2,5,EA1,0.005878359389165427,4000,242
Random,2,6,EA1,-0.01377125772472946,4000,242
Random,2,7,EA1,0.0011694453081281804,4000,242
Random,2,8,EA1,-0.002137442598514255,4000,242
Random,2,9,EA1,0.011212567113186642,4000,242
Random,2,10,EA1,-0.009790015515548691,4000,242
Random,2,11,EA1,-0.009792607102221268,4000,242
Random,2,12,EA1,0.020430393363523654,4000,242
Random,2,13,EA1,0.00941021571009845,4000,242
Random,2,14,EA1,-0.01716925444618177,4000,242
Random,2,15,EA1,0.025882481831835287,4000,242
Random,2,16,EA1,-0.014910120315145851,4000,242
Random,2,17,EA1,0.012940308919257366,4000,242
Random,2,18,EA1,-0.02429726043579507,4000,242
Random,2,19,EA1,-0.024636148891846905,4000,242
Random,2,20,EA1,-0.02563872999087184,4000,242
Random,2,21,EA1,0.005652561649210598,4000,242
Random,2,22,EA1,0.005529386245318481,4000,242
Random,2,23,EA1,-0.005869328713967794,4000,242
Random,2,24,EA1,-0.017510806810940027,4000,242
Random,2,25,EA1,0.08159576386491056,4000,242
Random,2,26,EA1,0.01990198754243005,4000,242
Random,2,27,EA1,0.0052376157098110365,4000,242
Random,2,28,EA1,-0.025500865085911695,4000,242
Random,2,29,EA1,-0.011901679666348247,4000,242
